#: table_doi: 10.17182/hepdata.64354.v1/t3
#: name: Table 3
#: description: The measured normalized combined (electron and muon channels) cross section (1/SIG(FID))*D(SIG(FID))/DPT(Z) for 0 <= ABS(YRAP(Z)) < 1, 1 <= ABS(YRAP(Z)) < 2 and 2 <= ABS(YRAP(Z)) < 2.4. The cross sections at Born and dressed levels are given as well as the relative statistical and systematic uncertainties for uncorrelated and correlated sources.

#: data_file: Table3.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production | Muon production | Electron production
#: keyword cmenergies: 7000.0
#: ABS(YRAP(Z)),,,0.0-1.0
#: Level,,,Born
#: RE,,,P P --> (Z0 + GAMMA*) < E+ E- + MU+ MU- > X
#: SQRT(S) [GeV],,,7000.0
PT(Z) [GEV],PT(Z) [GEV] LOW,PT(Z) [GEV] HIGH,(1/SIG(FID))*D(SIG(FID))/DPT(Z) [1/GEV],stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -"
13.0,12.0,14.0,0.0271,1.1%,-1.1%,0.7%,-0.7%,0.4%,-0.4%
15.0,14.0,16.0,0.0233,1.3%,-1.3%,0.7%,-0.7%,0.5%,-0.5%
17.0,16.0,18.0,0.0203,1.4%,-1.4%,0.8%,-0.8%,0.5%,-0.5%
20.0,18.0,22.0,0.0164,1.2%,-1.2%,0.6%,-0.6%,0.5%,-0.5%
24.0,22.0,26.0,0.0124,1.4%,-1.4%,0.8%,-0.8%,0.6%,-0.6%
28.0,26.0,30.0,0.00981,1.7%,-1.7%,0.8%,-0.8%,0.6%,-0.6%
32.0,30.0,34.0,0.0079,1.8%,-1.8%,0.9%,-0.9%,0.5%,-0.5%
36.0,34.0,38.0,0.00634,2.0%,-2.0%,1.0%,-1.0%,0.5%,-0.5%
40.0,38.0,42.0,0.00509,2.2%,-2.2%,1.2%,-1.2%,0.4%,-0.4%
44.0,42.0,46.0,0.0044,2.4%,-2.4%,1.2%,-1.2%,0.4%,-0.4%
48.0,46.0,50.0,0.00355,2.6%,-2.6%,1.4%,-1.4%,0.4%,-0.4%
52.0,50.0,54.0,0.00299,2.9%,-2.9%,1.5%,-1.5%,0.6%,-0.6%
57.0,54.0,60.0,0.00265,2.7%,-2.7%,1.3%,-1.3%,0.4%,-0.4%
65.0,60.0,70.0,0.0018,2.5%,-2.5%,1.3%,-1.3%,0.4%,-0.4%
75.0,70.0,80.0,0.00112,3.3%,-3.3%,1.6%,-1.6%,0.7%,-0.7%
90.0,80.0,100.0,0.000589,3.1%,-3.1%,1.4%,-1.4%,0.8%,-0.8%
125.0,100.0,150.0,0.000196,3.3%,-3.3%,1.5%,-1.5%,2.1%,-2.1%
175.0,150.0,200.0,5.05e-05,6.7%,-6.7%,2.8%,-2.8%,2.2%,-2.2%
250.0,200.0,300.0,9.12e-06,10.9%,-10.9%,4.4%,-4.4%,0.8%,-0.8%
550.0,300.0,800.0,1.45e-07,34.0%,-34.0%,15.8%,-15.8%,0.9%,-0.9%

